id,item_id,item_name,item_name_en,group_id,group_name,group_kind,equipment_type_id,fabric_type,effects_json,max_hp,max_mp,attack,defense,charm,agility,dexterity,magic_attack,healing_power,job_override_mode,craft_level,equip_level,recipe_book,recipe_place,description,slot,slot_grid_type,slot_grid_cols,materials_json,slot_grid_json,source_url,detail_url,default_price,weight,created_at,updated_at
19,sword_1h_75,ライトニングソード,"Thunderstorm Sword",,,,1,,"[""雷属性攻撃""]",,4,98,,14,,,,,inherit,37,75,ライトニングソードの書,真グランゼドーラ王国のレシピ屋20000G,雷の力を宿した青くかがやく超硬度の剣,片手剣,片手剣,1,"[{""count"": 10, ""item_id"": 838}, {""count"": 1, ""item_id"": 856}, {""count"": 1, ""item_id"": 554}, {""count"": 1, ""item_id"": 761}, {""count"": 10, ""item_id"": 865}]","[[""170-180""], [""250-260""], [""350-356""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-75-1.php,,10,"2026-03-12 00:31:53","2026-07-23 15:19:01"
20,sword_1h_70,聖王のつるぎ,"Dryspell Sword",,,,1,,"[""ドラゴン系にダメージ+10%""]",,3,94,,14,,,,,inherit,36,70,聖王のつるぎの壁画,偽グランゼドーラ王国のレシピ屋20000G,聖なる力を秘めたドラゴン系の敵を切り裂く剣,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 648}, {""count"": 1, ""item_id"": 570}, {""count"": 1, ""item_id"": 753}, {""count"": 1, ""item_id"": 761}, {""count"": 5, ""item_id"": 865}]","[[""270-280""], [""200-206""], [""300-310""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-70-1.php,,10,"2026-03-12 00:31:55","2026-07-23 15:19:01"
21,sword_1h_65,ほしくずのつるぎ,"Stardust Sword",,,,1,,"[""攻撃時4%でルカニ""]",,,89,,18,,,,,inherit,35,65,ほしくずのつるぎの本,グレン城・武器鍛冶ギルドのレシピ屋10000G,斬りつけた相手の守備力を下げる星をも切り裂く剣,片手剣,片手剣,1,"[{""count"": 30, ""item_id"": 821}, {""count"": 30, ""item_id"": 652}, {""count"": 5, ""item_id"": 608}, {""count"": 1, ""item_id"": 639}, {""count"": 10, ""item_id"": 865}]","[[""180-188""], [""270-282""], [""230-236""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-65-1.php,,12,"2026-03-12 00:31:57","2026-07-23 15:19:01"
22,sword_1h_60,メタスラの剣,"Metal Slime Sword",,,,1,,"[""メタル系に+1ダメージ""]",,,72,,10,,,,,inherit,33,60,メタスラの剣のレシピ,グレン城・武器鍛冶ギルドのレシピ屋10000G,メタル系の魔物を倒しやすいとても硬い剣,片手剣,片手剣,1,"[{""count"": 15, ""item_id"": 784}, {""count"": 3, ""item_id"": 753}, {""count"": 1, ""item_id"": 856}, {""count"": 12, ""item_id"": 865}]","[[""140-144""], [""280-291""], [""180-190""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-60-1.php,,10,"2026-03-12 00:31:59","2026-07-23 15:19:01"
23,sword_1h_60_2,オニキスの魔剣,"Onyx Blade",,,,1,,"[""-""]",,8,83,,11,,,,,inherit,34,60,オニキスの魔剣の本,グレン城・武器鍛冶ギルドのレシピ屋10000G,装備すると最大MPが増える妖気ただよう剣,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 649}, {""count"": 10, ""item_id"": 867}, {""count"": 1, ""item_id"": 782}, {""count"": 12, ""item_id"": 865}]","[[""154-164""], [""240-250""], [""310-316""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-60-2.php,,12,"2026-03-12 00:32:02","2026-07-23 15:19:01"
24,sword_1h_50,ほのおのつるぎ,"Fire Blade",,,,1,,"[""炎属性攻撃""]",,,66,,10,,,,,inherit,30,50,ほのおのつるぎの書,グレン城・武器鍛冶ギルドのレシピ屋10000G,炎の魔力をみなぎらせる猛々しい剣,片手剣,片手剣,1,"[{""count"": 10, ""item_id"": 816}, {""count"": 1, ""item_id"": 880}, {""count"": 30, ""item_id"": 863}, {""count"": 10, ""item_id"": 865}]","[[""130-135""], [""160-168""], [""220-230""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-50-1.php,,10,"2026-03-12 00:32:04","2026-07-23 15:19:01"
25,sword_1h_50_2,きせきのつるぎ,"Miracle Sword",,,,1,,"[""攻撃ダメージの6.0%HPが回復""]",,,62,,15,,,,,inherit,30,50,ミラクル武器の軌跡,グレン城・武器鍛冶ギルドのレシピ屋10000G,攻撃するたびにキズをいやす神々しい剣,片手剣,片手剣,1,"[{""count"": 12, ""item_id"": 816}, {""count"": 30, ""item_id"": 627}, {""count"": 1, ""item_id"": 811}, {""count"": 10, ""item_id"": 865}]","[[""235-243""], [""145-153""], [""180-184""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-50-2.php,,10,"2026-03-12 00:32:07","2026-07-23 15:19:01"
26,sword_1h_42,プラチナソード,"Platinum Sword",,,,1,,"[""試合時のみダメージ+10%""]",,,47,,10,,,,,inherit,25,42,プラチナソードの本,メギストリスの都G-2の民家の2階の本棚,コロシアムで威力を発揮するプラチナ製の剣,片手剣,片手剣,1,"[{""count"": 4, ""item_id"": 816}, {""count"": 1, ""item_id"": 835}, {""count"": 3, ""item_id"": 881}, {""count"": 4, ""item_id"": 865}]","[[""120-128""], [""170-184""], [""100-104""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-42-1.php,,8,"2026-03-12 00:32:09","2026-07-23 15:19:01"
27,sword_1h_42_2,まけんしのレイピア,"Fizzle Foil",,,,1,,"[""-""]",,,52,,10,,,,,inherit,27,42,実録！魔剣の作り方,バザーのみかげのきしがドロップする,赤い刀身が人目を惹きつける細身の剣,片手剣,片手剣,1,"[{""count"": 5, ""item_id"": 816}, {""count"": 2, ""item_id"": 548}, {""count"": 2, ""item_id"": 549}, {""count"": 5, ""item_id"": 865}]","[[""126-137""], [""134-140""], [""160-174""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-42-2.php,,8,"2026-03-12 00:32:11","2026-07-23 15:19:01"
28,sword_1h_42_3,ゾンビキラー,Zombiesbane,,,,1,,"[""ゾンビ系にダメージ+20%""]",,,55,,8,,,,,inherit,29,42,ゾンビキラーの本,グレン城・武器鍛冶ギルドのレシピ屋3000G,ゾンビ系の魔物にめっぽう強い聖なる剣,片手剣,片手剣,1,"[{""count"": 6, ""item_id"": 816}, {""count"": 1, ""item_id"": 702}, {""count"": 1, ""item_id"": 551}, {""count"": 6, ""item_id"": 865}]","[[""150-154""], [""190-210""], [""110-116""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-42-3.php,,8,"2026-03-12 00:32:14","2026-07-23 15:19:01"
29,sword_1h_42_4,ドラゴンキラー,Dragonsbane,,,,1,,"[""ドラゴン系にダメージ+20%""]",,,58,,8,,,,,inherit,30,42,ドラゴンキラーの本,メギストリスの都のレシピ屋10000G,ドラゴン系の敵にめっぽう強いたのもしい剣,片手剣,片手剣,1,"[{""count"": 6, ""item_id"": 816}, {""count"": 1, ""item_id"": 753}, {""count"": 1, ""item_id"": 879}, {""count"": 8, ""item_id"": 865}]","[[""200-206""], [""120-130""], [""160-164""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-42-4.php,,8,"2026-03-12 00:32:16","2026-07-23 15:19:01"
30,sword_1h_35,はやぶさの剣,"Falcon Blade",,,,1,,"[""2回攻撃できる""]",,,17,,6,,,,,inherit,23,35,はやぶさの剣の書,バザーのみシルバーマントがドロップする,すばやく2回攻撃できる不思議な剣,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 784}, {""count"": 1, ""item_id"": 732}]","[[""80-84""], [""160-168""], [""120-130""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-35-3.php,,2,"2026-03-12 00:32:18","2026-07-23 15:19:01"
31,sword_1h_35_2,はじゃのつるぎ,"Cautery Sword",,,,1,,"[""戦いで使うと地を這う炎が敵を焼き尽くす""]",,,44,,6,,,,,inherit,20,35,はじゃのつるぎの書,バザーのみキングリザードがドロップする,戦闘中に使うと地を這う炎が敵を焼き尽くす剣,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 820}, {""count"": 1, ""item_id"": 879}]","[[""80-90""], [""116-122""], [""134-150""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-35-2.php,,6,"2026-03-12 00:32:20","2026-07-23 15:19:01"
32,sword_1h_35_3,戦士の剣,"Warrior's Sword",,,,1,,"[""-""]",,,41,,6,,,,,inherit,17,35,戦士の剣の物語,港町レンドア北C-6宿屋2階の本棚,戦士のために作られたシャープな剣,片手剣,片手剣,1,"[{""count"": 2, ""item_id"": 633}, {""count"": 1, ""item_id"": 732}, {""count"": 1, ""item_id"": 698}]","[[""100-108""], [""130-134""], [""74-90""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-35-1.php,,6,"2026-03-12 00:32:23","2026-07-23 15:19:01"
33,sword_1h_28,ウェスタンレイピア,"Western Rapier",,,,1,,"[""-""]",,,36,,6,,,,,inherit,16,28,ウェスタンレイピア伝記,バザーのみサマーウルフがドロップする,細身に作られた開拓精神あふれるイカした剣,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 732}, {""count"": 1, ""item_id"": 845}]","[[""80-84""], [""80-92""], [""110-125""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-28-2.php,,3,"2026-03-12 00:32:27","2026-07-23 15:19:01"
34,sword_1h_28_2,はがねのつるぎ,"Steel Broadsword",,,,1,,"[""試合時のみダメージ+10%""]",,,33,,5,,,,,inherit,14,28,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,コロシアムで威力を発揮するはがね製のの剣,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 749}, {""count"": 1, ""item_id"": 810}]","[[""74-90""], [""80-85""], [""85-94""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-28-1.php,,5,"2026-03-12 00:32:29","2026-07-23 15:19:01"
35,sword_1h_21,バスタードソード,"Bastard Sword",,,,1,,"[""-""]",,,28,,4,,,,,inherit,12,21,バスタードソードの本,バザーのみバイキングソウルがドロップする,一人前の冒険者がよく使う切れ味するどい剣,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 879}]","[[""90-95""], [""70-78""], [""50-67""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-21-2.php,,4,"2026-03-12 00:32:32","2026-07-23 15:19:01"
36,sword_1h_21_2,ぎんのレイピア,"Silver Rapier",,,,1,,"[""-""]",,,25,,5,,,,,inherit,10,21,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,銀で作られたかっこいい細身の剣,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 732}]","[[""50-55""], [""50-60""], [""80-95""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-21-1.php,,3,"2026-03-12 00:32:34","2026-07-23 15:19:01"
37,sword_1h_14,さんぞくのサーベル,"Bandit Blade",,,,1,,"[""-""]",,,20,,3,,,,,inherit,9,14,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,山賊がよく使うシンプルな形のサーベル,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 732}, {""count"": 1, ""item_id"": 643}]","[[""45-52""], [""65-78""], [""50-60""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-14-2.php,,3,"2026-03-12 00:32:36","2026-07-23 15:19:01"
38,sword_1h_14_2,てつのつるぎ,"Iron Broadsword",,,,1,,"[""試合時のみダメージ+5%""]",,,17,,3,,,,,inherit,7,14,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,コロシアムで威力を発揮する鉄で作られた剣,片手剣,片手剣,1,"[{""count"": 3, ""item_id"": 732}, {""count"": 1, ""item_id"": 749}]","[[""45-55""], [""50-62""], [""40-48""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-14-1.php,,3,"2026-03-12 00:32:39","2026-07-23 15:19:01"
39,sword_1h_7,せいどうのつるぎ,"Bronze Sword",,,,1,,"[""-""]",,,9,,1,,,,,inherit,3,7,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,青銅で作られたシンプルな剣,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 749}, {""count"": 1, ""item_id"": 732}]","[[""28-40""], [""32-44""], [""40-50""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-7-1.php,,2,"2026-03-12 00:32:41","2026-07-23 15:19:01"
40,sword_1h_7_2,レイピア,Rapier,,,,1,,"[""-""]",,,12,,2,,,,,inherit,5,7,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,細身に作られたおしゃれな剣,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 732}, {""count"": 1, ""item_id"": 749}]","[[""30-35""], [""40-50""], [""50-65""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-7-2.php,,2,"2026-03-12 00:32:44","2026-07-23 15:19:01"
41,sword_1h_1,どうのつるぎ,"Copper Sword",,,,1,,"[""-""]",,,4,,1,,,,,inherit,1,1,はじめての武器鍛冶,グレン城・武器鍛冶ギルドのレシピ屋10G,銅で作られたありきたりな剣,片手剣,片手剣,1,"[{""count"": 1, ""item_id"": 749}]","[[""24-36""], [""28-40""], [""24-36""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-1-1.php,,1,"2026-03-12 00:32:46","2026-07-23 15:19:01"
42,sword_1h_1_2,七夕の剣,"Festival Sword",,七夕の剣,weapon,1,,"[""-""]",,,,,,,,,,inherit,11,1,祭具・七夕の剣絵巻,以前のイベントで販売され、今はバザーのみ,晴れ呼びの儀に欠かせない霊力が宿る剣,片手剣,,,"[{""count"": 4, ""item_id"": 784}, {""count"": 12, ""item_id"": 775}]",,https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-1-2.php,,,"2026-03-12 00:32:48","2026-07-23 15:19:01"
43,sword_2h_132,ネビュラスブレード,"Galactic Greatsword",,,,2,,"[""行動時1%でテンションアップ"", ""行動時5%でテンション消費なし""]",,,391,,24,,,,,inherit,75,132,美しき星雲の世界,はじまりの地のレシピ屋クツツ1000000G,"行動時まれに テンションアップ 星々を冠した大剣",両手剣,両手剣,2,"[{""count"": 30, ""item_id"": 705}, {""count"": 4, ""item_id"": 799}, {""count"": 7, ""item_id"": 753}, {""count"": 20, ""item_id"": 821}, {""count"": 9, ""item_id"": 729}]","[[""220-228"", ""100-107""], [""95-102"", ""110-117""], [""120-127"", ""95-102""], [""190-198"", ""145-153""]]",https://draquex.com/buki/0-taiken.php,https://draquex.com/buki/taiken-132-1.php,,51,"2026-03-12 00:32:54","2026-07-23 15:19:01"
