id,key,name,display_name,kind,craft_type_id,grid_json,created_at,updated_at
23,tailoring_head,裁縫頭,頭,armor,4,"{""cols"": 3, ""rows"": 2, ""disabledCells"": [[0, 0], [0, 2]]}","2026-08-06 07:17:33","2026-08-06 09:06:00"
24,tailoring_upper,裁縫上,体上,armor,4,"{""cols"": 3, ""rows"": 3, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 09:21:55"
25,tailoring_lower,裁縫下,体下,armor,4,"{""cols"": 2, ""rows"": 3, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 09:06:00"
26,tailoring_arms,裁縫腕,腕,armor,4,"{""cols"": 3, ""rows"": 2, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 09:06:00"
27,tailoring_feet,裁縫足,足,armor,4,"{""cols"": 2, ""rows"": 2, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 09:06:00"
28,tool_hammer,鍛冶ハンマー,鍛冶ハンマー,craft_tool,7,"{""cols"": 2, ""rows"": 3, ""disabledCells"": [[2, 1]]}","2026-08-06 07:17:33","2026-08-06 07:21:54"
29,tool_woodworking_knife,木工刀,木工刀,craft_tool,7,"{""cols"": 1, ""rows"": 3, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
30,tool_alchemy_pot,錬金ツボ,錬金ツボ,craft_tool,7,"{""cols"": 2, ""rows"": 3, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
31,tool_alchemy_lamp,錬金ランプ,錬金ランプ,craft_tool,7,"{""cols"": 2, ""rows"": 2, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
32,tool_sewing_needle,さいほう針,さいほう針,craft_tool,7,"{""cols"": 1, ""rows"": 2, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
33,tool_frying_pan,フライパン,フライパン,craft_tool,7,"{""cols"": 2, ""rows"": 4, ""disabledCells"": [[3, 1]]}","2026-08-06 07:17:33","2026-08-06 07:21:54"
34,fishing_rod,釣り竿,釣り竿,fishing,3,"{""cols"": 2, ""rows"": 3, ""disabledCells"": [[0, 0]]}","2026-08-06 07:17:33","2026-08-06 09:23:15"
35,furniture_table,家具(机、ドレッサ、チェスト),家具・机,furniture,3,"{""cols"": 3, ""rows"": 3, ""disabledCells"": [[2, 0], [2, 1]]}","2026-08-06 07:17:33","2026-08-06 09:32:59"
36,furniture_chair,家具(イス、カウンタ、棚、暖炉、ソファ、仕切り),家具・イス,furniture,3,"{""cols"": 3, ""rows"": 3, ""disabledCells"": [[2, 2]]}","2026-08-06 07:17:33","2026-08-06 09:33:05"
37,dogu_sozai,素材,素材,,7,"{""cols"": 2, ""rows"": 3, ""disabledCells"": []}","2026-08-06 09:37:12","2026-08-06 11:14:49"
38,nikuman,にくまん,にくまん,,8,"{""cols"": 3, ""rows"": 3, ""disabledCells"": [[0, 0], [0, 1], [0, 2], [1, 0], [1, 1], [1, 2], [2, 0]]}","2026-08-06 10:31:01","2026-08-06 10:31:01"
