id,name,name_kana,name_en,color,effect,created_at,updated_at
68,逆境の身かわしアップ,ぎゃっきょうのみかわしあっぷ,Adversity Evasion Up,水,ダメージでHPが25%を下回った時たまに自分にみかわし率30%アップ,2026-03-12 12:56:23,2026-03-31 14:36:47
69,復讐のテンションアップ,ふくしゅうのてんしょんあっぷ,Vim for Vendetta,風,味方死亡時、たまに自分に【テンションアップ】1段階,2026-03-12 12:56:24,2026-03-31 14:36:47
70,復讐のバイシオン,ふくしゅうのばいしおん,Avenging Baision,風,味方死亡時、たまに自分に【攻撃力上昇】1段階,2026-03-12 12:56:24,2026-03-31 14:36:47
71,復讐のスカラ,ふくしゅうのすから,Avenging Scala,風,味方死亡時、たまに自分に【守備力上昇】1段階,2026-03-12 12:56:24,2026-03-31 14:36:47
72,復讐の攻撃呪文威力アップ,ふくしゅうのこうげきじゅもんいりょくあっぷ,Avenging Offensive Spell Power Up,風,味方死亡時、たまに自分に【攻撃呪文強化】2段階,2026-03-12 12:56:24,2026-03-31 14:36:47
73,復讐の早詠みの杖,ふくしゅうのはやよみのつえ,Avenging Fast Chant Staff,風,味方死亡時、たまに自分に【詠唱時間短縮】,2026-03-12 12:56:24,2026-03-31 14:36:47
74,復讐の聖なる祈り,ふくしゅうのせいなるいのり,Avenging Sacred Prayer,風,味方死亡時、たまに自分に【回復呪文強化】2段階,2026-03-12 12:56:24,2026-03-31 14:36:47
75,復讐の聖女の守り,ふくしゅうのせいじょのまもり,Avenging Saintly Veil,風,味方死亡時、たまに自分に【聖女の守り】,2026-03-12 12:56:24,2026-03-31 14:36:47
76,復讐の呪文耐性上昇,ふくしゅうのじゅもんたいせいじょうしょう,Avenging Spell Resistance Up,風,味方死亡時、たまに自分に【呪文耐性上昇】,2026-03-12 12:56:24,2026-03-31 14:36:47
77,復讐のブレス耐性上昇,ふくしゅうのぶれすたいせいじょうしょう,Avenging Breath Resistance Up,風,味方死亡時、たまに自分に【ブレス耐性上昇】,2026-03-12 12:56:24,2026-03-31 14:36:47
78,果てなき聖女の守り,はてなきせいじょのまもり,Endless Saintly Veil,風,発生手段を問わず、自分にかかる【聖女の守り】の効果時間を延長,2026-03-12 12:56:24,2026-03-31 14:36:47
79,果てなき攻撃力アップ,はてなきこうげきりょくあっぷ,Endless Attack Up,風,発生手段を問わず、自分にかかる【攻撃力上昇】の効果時間を延長,2026-03-12 12:56:24,2026-03-31 14:36:47
80,果てなき守備力アップ,はてなきしゅびりょくあっぷ,Endless Defence Up,風,発生手段を問わず、自分にかかる【守備力上昇】の効果時間を延長,2026-03-12 12:56:24,2026-03-31 14:36:47
81,果てなき攻撃呪文威力アップ,はてなきこうげきじゅもんいりょくあっぷ,Endless Offensive Spell Power Up,風,発生手段を問わず、自分にかかる【攻撃呪文強化】の効果時間を延長,2026-03-12 12:56:24,2026-03-31 14:36:47
82,果てなき回復呪文威力アップ,はてなきかいふくじゅもんいりょくあっぷ,Endless Healing Spell Power Up,風,発生手段を問わず、自分にかかる【回復呪文強化】の効果時間を延長,2026-03-12 12:56:24,2026-03-31 14:36:47
83,禁断のMPアップ,きんだんのえむぴーあっぷ,Brains over Brawn,風,最大MP上昇（上段）＆最大HP低下（下段）,2026-03-12 12:56:24,2026-03-31 14:36:47
84,禁断のちからアップ,きんだんのちからあっぷ,Forbidden Strength Up,風,ちから上昇（上段）＆みのまもり低下（下段）,2026-03-12 12:56:24,2026-03-31 14:36:47
85,禁断のおもさアップ,きんだんのおもさあっぷ,Forbidden Weight Up,風,おもさ上昇（上段）＆移動速度低下（下段）,2026-03-12 12:56:24,2026-03-31 14:36:47
86,禁断のこうげき魔力アップ,きんだんのこうげきまりょくあっぷ,Forbidden Magical Might Up,風,攻撃魔力上昇（上段）＆最大HP低下（下段）,2026-03-12 12:56:24,2026-03-31 14:36:47
87,禁断のかいふく魔力アップ,きんだんのかいふくまりょくあっぷ,Forbidden Magical Mending Up,風,回復魔力上昇（上段）＆最大MP低下（下段）,2026-03-12 12:56:24,2026-03-31 14:36:47
88,禁断のHPアップ,きんだんのえいちぴーあっぷ,Forbidden HP Up,風,最大HP上昇（上段）＆最大MP低下（下段）,2026-03-12 12:56:24,2026-03-31 14:36:47
89,禁断のきようさアップ,きんだんのきようさあっぷ,Forbidden Deftness Up,風,きようさ上昇（上段）＆すばやさ低下（下段）,2026-03-12 12:56:24,2026-03-31 14:36:47
90,始まりのヘナトス,はじまりのへなとす,Initial Blunt,風,戦闘開始時、たまにランダムな敵1体に【攻撃力低下】1段階,2026-03-12 12:56:24,2026-03-31 14:36:47
91,始まりのルカニ,はじまりのるかに,Initial Sap,風,戦闘開始時、たまにランダムな敵1体に【守備力低下】1段階,2026-03-12 12:56:24,2026-03-31 14:36:47
92,始まりのボミエ,はじまりのぼみえ,Initial Deceleratle,風,戦闘開始時、たまにランダムな敵1体に【行動間隔延長】1段階,2026-03-12 12:56:24,2026-03-31 14:36:47
93,始まりのぶきみなひかり,はじまりのぶきみなひかり,Initial Eerie Light,風,戦闘開始時、たまにランダムな敵1体に【呪文耐性低下】1段階,2026-03-12 12:56:24,2026-03-31 14:36:47
94,始まりの重さダウン,はじまりのおもさだうん,Initial Weight Down,風,戦闘開始時、たまにランダムな敵1体に【おもさ減少】,2026-03-12 12:56:24,2026-03-31 14:36:47
95,始まりのラリホー,はじまりのらりほー,Initial Snooze,風,戦闘開始時、たまにランダムな敵1体に【眠り】,2026-03-12 12:56:24,2026-03-31 14:36:47
96,始まりのチャージタイム短縮,はじまりのちゃーじたいむたんしゅく,Initial Charge Time Cut,風,戦闘開始時、たまに自分にCT10秒短縮,2026-03-12 12:56:24,2026-03-31 14:36:47
97,始まりのバイシオン,はじまりのばいしおん,Initial Baision,風,戦闘開始時、たまに自分に【攻撃力上昇】1段階,2026-03-12 12:56:24,2026-03-31 14:36:47
98,始まりの聖女の守り,はじまりのせいじょのまもり,Initial Saintly Veil,風,戦闘開始時、たまに自分に【聖女の守り】,2026-03-12 12:56:24,2026-03-31 14:36:47
99,始まりのキラキラポーン,はじまりのきらきらぽーん,Initial Sparkle,風,戦闘開始時、たまに自分に【キラキラポーン】,2026-03-12 12:56:24,2026-03-31 14:36:47
100,始まりの移動速度アップ,はじまりのいどうそくどあっぷ,Initial Movement Speed Up,風,戦闘開始時、たまに自分に移動速度50%アップ,2026-03-12 12:56:24,2026-03-31 14:36:47
101,始まりのHPアップ,はじまりのえいちぴーあっぷ,Initial HP Up,風,戦闘開始時、たまに自分に最大HP50アップ,2026-03-12 12:56:24,2026-03-31 14:36:47
102,メラ系呪文の瞬き,めらけいじゅもんのまたたき,Frizz Quick Chant,風,【メラ系】呪文の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
103,ヒャド系呪文の瞬き,ひゃどけいじゅもんのまたたき,Crack Quick Chant,風,【ヒャド系】呪文の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
104,イオ系呪文の瞬き,いおけいじゅもんのまたたき,Bang Quick Chant,風,【イオ系】呪文の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
105,バギ系呪文の瞬き,ばぎけいじゅもんのまたたき,Woosh Quick Chant,風,【バギ系】呪文の詠唱速度上昇（【コーラルレイン】【メイルストロム】も含む）,2026-03-12 12:56:24,2026-03-31 14:36:47
106,ドルマ系呪文の瞬き,どるまけいじゅもんのまたたき,Zam Quick Chant,風,【ドルマ系】呪文の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
107,ギラ系呪文の瞬き,ぎらけいじゅもんのまたたき,Sizz Quick Chant,風,【ギラ系】呪文の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
108,ドガン系呪文の瞬き,どがんけいじゅもんのまたたき,Crash Quick Chant,風,【ドガン系】呪文の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
109,ジバ系呪文の瞬き,じばけいじゅもんのまたたき,Jiba Spells Quick Chant,風,【ジバリア系】呪文の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
110,マダンテの瞬き,まだんてのまたたき,Magic Burst Quick Chant,風,【マダンテ】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
111,マホトラの瞬き,まほとらのまたたき,Drain Magic Quick Chant,風,【マホトラ】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
112,ホイミ系呪文の瞬き,ほいみけいじゅもんのまたたき,Heal Quick Chant,風,【ホイミ系】呪文の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
113,ザオの瞬き,ざおのまたたき,Zin Quick Chant,風,【ザオ】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
114,ザオラルの瞬き,ざおらるのまたたき,Zing Quick Chant,風,【ザオラル】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
115,ザオリクの瞬き,ざおりくのまたたき,Kazing Quick Chant,風,【ザオリク】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
116,バイキルト系呪文の瞬き,ばいきるとけいじゅもんのまたたき,Oomphle Quick Chant,風,【バイシオン】【バイキルト】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
117,スカラ系呪文の瞬き,すからけいじゅもんのまたたき,Buff Quick Chant,風,【スカラ】【スクルト】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
118,ピオラ系呪文の瞬き,ぴおらけいじゅもんのまたたき,Accelerate Quick Chant,風,【ピオラ】【ピオリム】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
119,フバーハ系呪文の瞬き,ふばーはけいじゅもんのまたたき,Insulatle Quick Chant,風,【バーハ】【フバーハ】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
120,マジックバリアの瞬き,まじっくばりあのまたたき,Magic Barrier Quick Chant,風,【マジックバリア】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
121,ズッシードの瞬き,ずっしーどのまたたき,Thunk Quick Chant,風,【ズッシード】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
122,マホカンタ系呪文の瞬き,まほかんたけいじゅもんのまたたき,Bounce Quick Chant,風,【マホターン】【マホカンタ】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
123,マホキテの瞬き,まほきてのまたたき,Absorb Magic Quick Chant,風,【マホキテ】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
124,ヘナトス系の瞬き,へなとすけいのまたたき,Blunt Quick Chant,風,【ヘナトス】【ヘナトール】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
125,ルカニ系呪文の瞬き,るかにけいじゅもんのまたたき,Sap Quick Chant,風,【ルカニ】【ルカナン】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
126,ボミエ系呪文の瞬き,ぼみえけいじゅもんのまたたき,Decelerate Quick Chant,風,【ボミエ】【ボミオス】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
127,ディバインスペルの瞬き,でぃばいんすぺるのまたたき,Anathematise Quick Chant,風,【ディバインスペル】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
128,ラリホー系呪文の瞬き,らりほーけいじゅもんのまたたき,Snooze Quick Chant,風,【ラリホー】【ラリホーマ】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
129,メダパニ系呪文の瞬き,めだぱにけいじゅもんのまたたき,Fuddle Quick Chant,風,【メダパニ】【メダパニーマ】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
130,マホトーンの瞬き,まほとーんのまたたき,Fizzle Quick Chant,風,【マホトーン】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
131,マヌーサの瞬き,まぬーさのまたたき,Dazzle Quick Chant,風,【マヌーサ】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
132,ヴェレ系の瞬き,べれけいのまたたき,Tox Quick Chant,風,【ヴェレ】【ヴェレーノ】【ヴェレノーマ】の詠唱速度上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
133,奇跡の会心攻撃,きせきのかいしんこうげき,Miraculous Critical Attack,風,会心の一撃・呪文暴走時のダメージ上昇,2026-03-12 12:56:24,2026-03-31 14:36:47
134,打たれ名人,うたれめいじん,Master of Taking Hits,風,【被ダメージ軽減】,2026-03-12 12:56:24,2026-03-31 14:36:47
135,勝ちどきMP回復,かちどきえむぴーかいふく,Victory MP Recovery,風,敵を倒すとMP回復,2026-03-12 12:56:24,2026-03-31 14:36:47
136,気まぐれな追撃,きまぐれなついげき,Whimsical Follow-Up,風,CT技以外の呪文・特技使用時、たまに2回行動,2026-03-12 12:56:24,2026-03-31 14:36:47
137,共鳴のテンションアップ,きょうめいのてんしょんあっぷ,Resonant Tension Up,風,仲間のテンションアップ時たまに自分のテンションもアップ,2026-03-12 12:56:24,2026-03-31 14:36:47
138,終わりのHP回復,おわりのえいちぴーかいふく,End-of-Turn HP Recovery,風,戦闘終了時、自分のHP回復,2026-03-12 12:56:24,2026-03-31 14:36:47
139,メラ系とギラ系呪文の極意,めらけいとぎらけいじゅもんのごくい,メラ系 and Sizz Spells Mastery,光,【メラ系】【ギラ系】呪文のダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
140,メラ系とギラ系呪文の真髄,めらけいとぎらけいじゅもんのしんずい,メラ系 and Sizz Spells Essence,光,メラ系・ギラ系呪文のテンションアップ時ダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
141,ヒャド系呪文の極意,ひゃどけいじゅもんのごくい,Crack Spells Mastery,光,【ヒャド系】呪文のダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
142,ヒャド系呪文の真髄,ひゃどけいじゅもんのしんずい,Crack Spells Essence,光,ヒャド系呪文のテンションアップ時ダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
143,イオ系呪文の極意,いおけいじゅもんのごくい,Bang Spells Mastery,光,【イオ系】呪文のダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
144,イオ系呪文の真髄,いおけいじゅもんのしんずい,Bang Spells Essence,光,イオ系呪文のテンションアップ時ダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
145,バギ系呪文の極意,ばぎけいじゅもんのごくい,Woosh Spells Mastery,光,【バギ系】呪文のダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
146,バギ系呪文の真髄,ばぎけいじゅもんのしんずい,Woosh Spells Essence,光,バギ系呪文のテンションアップ時ダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
147,ドルマ系呪文の極意,どるまけいじゅもんのごくい,Zam Spells Mastery,光,【ドルマ系】呪文のダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
148,ドルマ系呪文の真髄,どるまけいじゅもんのしんずい,Zam Spells Essence,光,ドルマ系呪文のテンションアップ時ダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
149,ドガン系とジバ系呪文の極意,どがんけいとじばけいじゅもんのごくい,ドガン系 and Jiba Spells Mastery,光,【ドガン系】【ジバリア系】呪文のダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
150,ドガン系呪文の真髄,どがんけいじゅもんのしんずい,Dogan Spells Essence,光,ドガン系呪文のテンションアップ時ダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
151,マダンテの極意,まだんてのごくい,Magic Burst Mastery,光,【マダンテ】のダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
152,戦士の閃き,せんしのひらめき,Warrior Insight,光,戦士である間、必殺チャージ率上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
153,会心必中の極意,かいしんひっちゅうのごくい,Critical Claim Mastery,光,【会心必中】のダメージ上昇（Ver.5.1まではLv1につき3%）,2026-03-12 12:56:27,2026-03-31 14:36:47
154,かばうの極意,かばうのごくい,Whipping Boy Mastery,光,【かばう】中、さらに固定値で被ダメージ軽減,2026-03-12 12:56:27,2026-03-31 14:36:47
155,ロストアタックの極意,ろすとあたっくのごくい,Morale Masher Mastery,光,【ロストアタック】のダメージ上昇（Ver.3.0前期まではLv1につき5%）,2026-03-12 12:56:27,2026-03-31 14:36:47
156,たいあたりの極意,たいあたりのごくい,Body Slam Mastery,光,【たいあたり】のダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
157,やいばくだきの極意,やいばくだきのごくい,Attack Attacker Mastery,光,【やいばくだき】のダメージ上昇,2026-03-12 12:56:27,2026-03-31 14:36:47
