id,monster_name,normal_drop,rare_drop,trivia_1,trivia_2,source_filename
951,キャット・リベリオ,ふさふさの毛皮,おうごんのかけら,魔物の中でも とても珍しく数の少ない巨猫族の剣士。猫島の主 マンマーに仕えるが謀反をたくらんでいる。,キャット剣法師範のウデ前だが性格が災いし 弟子は来ない。ねこまどうに剣を持たせて無理やり教えたことがある。,951.webp
952,魔兵ヒプノス,ぎんのこうせき,ウルベア銀貨,イッドの手下である魔物。儀式の間を討伐隊の血で汚すという イッドの命令を果たすために行動していた。,元々は魔物の山賊だったがそのウデをイッドに見込まれ魔物兵士に転身。以後 イッドの右腕となる。,952.webp
953,魔兵タナト,ぎんのこうせき,ウルベア銀貨,イッドの手下である魔物。相棒のヒプノスと共にイッドの命令を果たすため人間の兵士に化けていた。,ヒプノスと共に悪行を尽くしそのウデをイッドに見込まれ魔物兵士に転身。以後 イッドの左腕となる。,953.webp
954,魔軍師イッド,まほうのせいすい,げんませき,魔瘴を操り プクランド大陸を滅ぼそうとたくらんだ魔物。人間に化け プーポッパン王の側近となっていた。,人間の弱みを徹底的に研究し甘言を巧みに使いわけ王の信頼を勝ちとった。高い智謀を誇る魔物の策略家。,954.webp
955,妖魔ジュリアンテ,あやかしそう,よるのとばり,しなやかな動きとスピードで相手を ほんろうするサディスティックな魔女。その瞳に しびれぬ者はない。,ジュリアンテご自慢の豊かな髪は 意外に重い。彼女の悩みは 体重が実姉と同じことである。,955.webp
956,呪術師マリーン,まほうのせいすい,レッドアイ,大地を揺るがす 巨大な肉体でこれまた巨大な棍棒を振り回す ごうかいな呪術師。趣味は 男コレクション。,彼女の技 いただきボールには捕らえた者の動きを封じマリーンを 絶世の美女に見せる効果があるらしい。,956.webp
957,守護者ラズバーン,,,神殿レイダメテスを守護する最強の魔人。エルジュの父ベルンハルトを殺した張本人でもある。,仕えるべき主 冥王の到来を待ち望んでいたがその誕生を見ることなく志半ばにして倒された。,957.webp
958,詩歌の守り手,大きなこうら,ホワイトパール,ウェディ族に伝わる歌をはるか昔より守り続ける者。その背に乗る石碑に歌が刻み込まれている。,普段は岩に化けて動かない。彼が動きだすのは王家の者が来た時と背中がカユい時だけである。,958.webp
959,暴君バサグランデ,けものの皮,せかいじゅの葉,かつて ウェナ諸島全域を壊滅の危機にさらした魔物。封印の巫女 セーリアによって永遠の水に封じられていた。,彼は歯向かう者だけでなくただ 楽しみのためだけに女子供すらも爪牙にかけ暴君と呼ばれることとなった。,959.webp
960,暗黒大樹の番人,暗黒の樹木,特どくけしそう,暗黒大樹の周辺に出没する謎多き魔物の群れ。暗黒大樹に近づく者には容赦なく襲いかかってくる。,暗黒大樹の番人たちには名前も性別もなくただひとり 長がいる以外お互いを区別しないらしい。,960.webp
961,ましょううお,大きなうろこ,げんませき,魔瘴のチカラを得ておぞましい進化を遂げたポイズンリザードの変種。体内に魔瘴を蓄えている。,狭い空洞の中で成長しそこから出られなくなったましょううおも いるという。彼は そこで何を思ったのか。,961.webp
962,怪蟲アラグネ,まほうのせいすい,イエローアイ,アグシュナ王妃に化けていた邪悪な大グモの化け物。暗黒大樹の葉のチカラで現代に よみがえった。,人食いの妖魔アラグネは相手を食べることでその姿と記憶を取り込み化けるようになるという。,962.webp
963,天魔クァバルナ,にじいろの布きれ,パープルアイ,魔天より飛来したといわれる伝説級の凶悪な魔物。長い歴史の中で 幾度となくドルワームを恐怖に陥れた。,ドルワームの民は 度重なるクァバルナの襲撃に耐えながら天魔黙示録という 一冊の書にその生態をまとめあげた。,963.webp
964,アークデーモン,まほうの小ビン,幻獣の皮,姿を見た者は生きて帰れないそんな逸話を持つ大悪魔。イオナズンを唱えた後にはチリすら残らないという。,悪魔軍団の炊き出し番長。手にした巨大フォークで大量の具材を混ぜ合わせ暗黒汁をふるまってくれる。,964.webp
965,ベリアル,,,クチから巨大な火の玉をはきすさまじい雷を巻き起こして人々に恐怖を植えつける冥王に付き従う 残忍な悪魔。,メルサンディ村は他にも巨大な顔や巨大な足の化け物の襲撃にあっているらしい。化け物共の目的はなんなのか？,965.webp
966,冥王ネルゲル,,,エテーネの村を焼き払いレンダーシアを闇に封じた生きとし生ける者の敵。死を振りまく 冥界の王。,呼吸をするようにウソをつくと冥界でも おそれられている。その魂は 誰よりも汚れており誰にも 心を許していない。,966.webp
967,冥獣王ネルゲル,,,大いなる闇のチカラを得て冥王ネルゲルが変身した。絶大なる魔力 不死身の肉体 獣の凶暴さを持つ 冥界の神。,彼の振るう絶望の鎌に斬りつけられた者はその魂にまで キズを負いチカラをうばわれるという。,967.webp
968,悪夢の右手,まほうの小ビン,せいれいせき,巨大な手のような形をした正体不明の化け物。メルサンディ村を襲いミシュアを さらっていった。,ネルゲルにチカラを与えた闇の根源とは なんなのか？その答えに近づくことは死を意味するといわれている。,968.webp
969,魔人エンラージャ,まほうの小ビン,げんませき,かつて リンジャの塔に封印されていた凶悪な魔人。自分の家来を 増やそうと魔人のわざわいを振りまく。,はるか昔 リンジャの塔に住む召喚士に 呼び出されてセレド周辺を荒らしたらしいがくわしいことは不明である。,969.webp
970,ムッチーノ,まほうの小ビン,やわらかウール,魔人エンラージャに仕えるズル賢い妖魔。おうえんや魔力の角笛などをくりだすので早めに倒そう。,昔は スリムな体型だったが何年も封印されている間にムッチムチに太ってしまった。ちなみに名前とは関係ない。,970.webp
971,破戒王ベルムド,するどい爪,ぶどうエキス,大いなる魔力により魔物になったベルムド王。砂漠に響き渡るおたけびは魔物たちを震えあがらせる。,まもの使いベルムドはかつて従えていた魔物たちの外見を混ぜ合わせ 彼自身の魔物姿として選んだという。,971.webp
972,絶望の巨像,,,アンルシアが自らの記憶を封じるために生みだした悲しき記憶の番人。深い霧の中より現れる。,絶望の中に落ちてゆくアンルシアが思い描いたのは皮肉にも 心に重くのしかかる勇者の巨像の姿だった。,972.webp
973,魔創兵ゲゾラ,げんこつダケ,ぶどうエキス,魔物へと変身をとげた兵士。テンションを上げることを得意としており その怪力ですべてをなぎはらう。,アンルシア姫に仕える近衛兵が魔道士キルギルの研究により魔物への変身能力を得た。姫への忠誠心はピカイチ。,973.webp
974,魔創兵グリモス,するどいキバ,ドラゴンの皮,魔物へと変身をとげた兵士。バギムーチョの呪文をあやつりその暴走率も高い。巨体を活かした攻撃も得意。,アンルシア姫に仕える近衛兵が魔道士キルギルの研究により魔物への変身能力を得た。ゲゾラへのライバル心が強い。,974.webp
975,魔創兵長バスラー,こうもりのはね,ヘビーメタル,バスラー隊長が凶悪な魔物へと変身をとげた姿。ラリホーマでエモノを眠らせマヒャドデスを食らわせるのが彼の王道戦術。,近衛兵士たちのリーダー格。魔道士キルギルの研究により魔物への変身能力を得た。じつはかなりの野心家らしい。,975.webp
976,魔勇者アンルシア,,,創生の魔力を得て異形の姿へと変身をとげたアンルシア姫。やみのころもをまとうとあらゆる攻撃が通じなくなる。,たとえ生まれが偽りの身でも最後に生き残った者こそが真の存在であるべきだ。私こそが真の勇者なのだ！,976.webp
977,いたずらジャーミィ,レッドベリー,レッドアイ,ちょっぴり いたずら好きなウサギの女の子。バーティと すごく仲良しでジャムが大好物なの。,ホントは英雄ザンクローネの右耳が化け物になった姿だよ！魔女様の魔法でキュートに大きくなっちゃった！,977.webp
978,いたずらバーティ,げんこつダケ,イエローアイ,ちょっぴり いたずら好きなウサギの女の子。ジャーミィと すごく仲良しでバターが大好物なの。,ホントは英雄ザンクローネの左耳が化け物になった姿だよ！水車に しびれくらげをはさむお仕事が生きがいなの。,978.webp
979,ハートボイルド,まほうのせいすい,赤い宝石,魔女グレイツェルに奪われたザンクローネの心臓が熱く煮える鍋に落とされて化け物へと変わってしまった。,英雄ザンクローネの心臓は毛が生えているどころかカオがついてて 暴れまわる。さすが英雄は並じゃない！,979.webp
980,邪教祖サダク,,,セレドの大人をたぶらかした教祖サダクが 祈願の魔像に集まった祈りのチカラを得て魔物に転生した姿。,人の心を見透かすのが得意で大人たちの悲しみを利用しセレドを偽りの世界で侵食する計画は 彼の発案によるもの。,980.webp
981,スイーツトロル,ゆめみの花,ピンクパールリング,自称 乙女系トロル。だが怒らせた時のパワーはすさまじく 並のトロルなどものともしない暴力の化身。,天然かつ小悪魔な末っ子。ふたりの兄のことはそれなりに尊敬しているが言うことはあまり聞いてない。,981.webp
982,あなうめ兄,氷の樹木,ブルーアイ,あなうめ三兄弟の長男。好きな色は青。得意のグレイブホールで相手の動きを止める。,アクセサリー集めが趣味でそのコレクションは粒ぞろい。某合成屋も 密かに狙っているとか いないとか。,982.webp
983,あなうめ弟,暗黒の樹木,グリーンアイ,あなうめ三兄弟の次男。好きな色は緑。バトルが大好きでとにかくケンカっ早い。,歴史ある あなうめ一族の当主の座を引き継ぎ責任感に燃えるカタブツ。兄弟の結束はそこそこ強い。,983.webp
984,あなうめ妹,さくらの花びら,レッドアイ,あなうめ三兄弟の末妹。好きな色は赤。得意のグレイブホールで相手の動きを止める。,兄がカタブツな分 オレがテキトーな性格でバランスを取っていると うそぶく弟。無論テキトーに言っている。,984.webp
985,闇の従者,,,大魔王に忠誠を誓っている親衛隊の一員。幼い頃から訓練にはげんできた魔王軍のエリートである。,大魔王の親衛隊でありながら仮面の男の指揮下に入っている今の立場に不満を感じているが鉄の意志で感情を抑えている。,985.webp
986,ヘルバトラー,まほうのせいすい,げんませき,大魔王に忠誠を誓った魔王軍団の親衛隊。呪文とブレスを使いこなす生まれついてのエリート戦士。,魔王軍の親衛隊として要人のボディガードをまかされることが多いがだいたい要人のほうが強い。,986.webp
987,グレイブディガー,みがきずな,赤い宝石,盗掘団「砂漠の土竜」のモルバ団長が使役する魔物。4本のウデを使ったはげしい攻撃に気をつけよう。,モルバ団長がつけた この名は墓掘り人という意味らしい。本人は気に入っていないのだが言葉が話せず 言えなかった。,987.webp
988,獣魔将ガルレイ,,,魔元帥ゼルドラド配下の四魔将の一角を担う獣人。すばやい動きで近づきするどいツメで斬り刻む。,じつは 悪鬼ゾンガロンのいとこの孫に当たるがゾンガロンもガルレイ自身もそんなつながりは知らない。,988.webp
989,ベロリンマン,,,賢者ブロッゲンが用意した破邪の秘技会得のための試練。現れた幻影を見抜かなければ本体を倒すのは むずかしい。,ひとりさみしく うおーん！と泣いていたところを賢者ブロッゲンに拾われた。それ以来 彼になついている。,989.webp
990,どくどくバルーン,,,賢者エイドスが用意した破邪の秘技会得のための試練。身体にまとう毒の煙によって周囲の敵を追いつめる。,賢者エイドスによる魔瘴研究の過程において生みだされた。ゆえに意思というものがなくエイドスの命令にのみ従う。,990.webp
991,なげきの魔像,,,賢者ホーローが用意した破邪の秘技会得のための試練。なげきのさけびによってこちらの攻撃を無効にする。,なげきのさけびを聞くとそのあまりの悲痛さにやる気も根気もなくなって無気力状態になるという。,991.webp
992,幻魔将ファズマ,,,魔元帥ゼルドラド配下の四魔将の一角を担う妖術士。幻影をあやつり 虚像の中で敵を死に至らしめる。,四魔将ナンバーワンの頭脳派を自認しているが他の三将からは まったくそう思われていない。,992.webp
993,妖魔将ゲジュラ,どくどくヘドロ,まじゅうのホネ,魔元帥ゼルドラド配下の四魔将の一角を担う大怪虫。糸をはいて マヒさせたり陰湿な攻撃を得意とする。,冷酷非道な魔物で 仲間でも平気で裏切るが その性根をゼルドラドに気に入られ四魔将のひとりとなった。,993.webp
994, 豪魔将ベリンダ,ガマのあぶら,ぶどうエキス,魔元帥ゼルドラド配下の四魔将の一角を担う女怪。怪力無双で知られるウワサの美人姉妹の姉。,妹のブレンダを気にかけるやさしい お姉ちゃん。魔王軍ナンバーワンの豊満なバストの持ち主。,994.webp
995,豪魔将ブレンダ,ガマのあぶら,せいじゃのはい,魔元帥ゼルドラド配下の四魔将の一角を担う女怪。怪力無双で知られるウワサの美人姉妹の妹。,竜笛の音を 久しぶりに聴いて思わず 寄ってきたら戦いに駆り出されてしまった。調子乗りのイケイケな性格。,995.webp
996,恐怖の化身,,,とある冒険者の恐怖の記憶が大魔王の魔力で実体化した。魂すら傷付ける大鎌は健在でより一層 凶悪さを増している。,姉のベリンダが大好きなあまえんぼうの妹。モンセロ温泉の効能で肌は絹のようにスベスベ。,996.webp
997,赤飛竜,するどいキバ,赤い宝石,太古の昔 竜族と共に失われた神秘の楽器 竜笛でのみ操ることができる赤き飛竜。,自分の命を奪った者への恐れは盟友と言えどぬぐい去りがたくその恐怖の記憶は実像を歪め虚像をはるかに強大に見せる。,997.webp
998,青飛竜,大きなうろこ,青い宝石,太古の昔 竜族と共に失われた神秘の楽器 竜笛でのみ操ることができる青き飛竜。,気性を荒く 見せているが本当は 竜笛の音を聴きたくてたまらないのを隠している。見た目に反した慎重派の性格。,998.webp
999,黄飛竜,大きなホネ,黄色の宝石,太古の昔 竜族と共に失われた神秘の楽器 竜笛でのみ操ることができる黄なる飛竜。,3匹の飛竜の中では一番若く初めて竜笛の音を聴いたが案外 悪くないと思っている。バランス重視の穏和な性格。,999.webp
1000,魔導鬼ベゼブー,まほうのせいすい,げんませき,この世から すべてのテンの花を消し去ることを使命としている魔導鬼一族。ベドラーとは いとこ同士。,いとこの魔導鬼ベドラーとはどちらがテンブの花を滅ぼすか競争しており 一歩リードされ内心あせっていた。,1000.webp
1001,ワイルドフォビズム,暗黒の樹木,まじゅうのホネ,魔幻宮殿に飾られた絵画だが侵入者を排除する役も兼ねる。絵に描いた魔物を呼びだすほか相手を惑わす戦いを好む。,絵画は心のたかぶりさえも表現することができるのだ。その荒々しさは まさに野獣と呼ぶにふさわしい。,1001.webp
1002,エビルキュビズム,暗黒の樹木,マデュライト,魔幻宮殿に飾られた絵画だが侵入者を排除する役も兼ねる。絵に描いた魔物を呼びだすほか絵からクサリを飛ばしてくる。,絵画は平面上に再現された立体構造物であると言える。物体は しょせんは円筒であり円すいであり球体でしかない。,1002.webp
1003,ダークレアリズム,暗黒の樹木,よるのとばり,魔幻宮殿に飾られた絵画だが侵入者を排除する役も兼ねる。絵に描いた魔物を呼びだすほか絵具をまき散らすのも大好き。,空想や夢想は現実ではないが現実を超える可能性を秘める。これらが世界を浸食したとき新たな現実が生まれる。,1003.webp
1004,魔元帥ゼルドラド,,,大魔王マデサゴーラの命を受け暗躍する魔族の大幹部。まがまがしい剣を武器とし強力な呪文も使いこなす。,大魔王との出会いは 魔界にてその作品を目にした時だった。大魔王が語る創世の大願に彼はいたく感動したという。,1004.webp
1005,トーマ王子,,,勇者の影武者として生きそして死んだ悲劇の王子。大魔王の魔力で復活させられ闇の勇者と成り果てた。,勇者でないものの 彼に流れるグランゼドーラ王家の血が勇者のレプリカを作るには最適な材料となったという。,1005.webp
1006,大魔王マデサゴーラ,,,世界を自分の思うままに創り変えようと企み創世の女神への挑戦者を自称する芸術家魔王。,偽りの世界にあった創生の渦はマデサゴーラが偶然手に入れた霊核のカケラが変化したもの。かの世界はそこから創られた。,1006.webp
1007,創造神マデサゴーラ,,,奈落の門から もれ出した創生の霊核のチカラで最強の姿に変化をとげたマデサゴーラの究極体。,創生の霊核を手に入れたら大魔王はアストルティア全土を偽りの世界で塗りつぶし創世の神となるつもりだった。,1007.webp
1008,白霊鬼ボータ,,,フードの男が白色の呪符により召喚した 異界の獣鬼。所構わず呪いと爆弾をバラまくとにかくハタ迷惑なヤツ。,1枚の札で6体呼べてお得だがひと山いくらでまとめられた本人たちは不満タラタラ。うっぷん晴らしに暴れ回る。,1008.webp
1009,青狼鬼グルバレイダ,ブルーアイ,白紙のカード,フードの男が青色の呪符により召喚した異界の獣鬼。するどいツメを振りまわしあらゆるものを切り裂く。,恐ろしげな外見に似合わないいたずら好きのお調子者。その性格から よく面倒事を引き起こすトラブルメーカー。,1009.webp
1010,桜蝶鬼メイガ,,,フードの男が桜色の呪符により召喚した異界の獣鬼。桜を舞い散らせ眠りにいざなう美しくも恐ろしい技の使い手。,呪符の魔物の中では新米。当初は桜色担当が不満だったが今ではすっかり板につき桜を使った大技まで体得した。,1010.webp
1011,黄牛鬼タウラダイン,イエローアイ,白紙のカード,フードの男が黄色の呪符により召喚した異界の獣鬼。巨大な鉄球で大きな破壊と小さくなる呪いを振りまく。,豪快な性格のチカラ持ち。意外と面倒見がよくて新米の呪符魔物からは頼れる先輩として慕われる。,1011.webp
1012,緑風鬼フー,グリーンアイ,白紙のカード,フードの男が緑色の呪符により召喚した異界の獣鬼。群れでの戦いに長けており互いのフォローを欠かさない。,仲間同士の和を大切にする気づかいのできる魔物。個性の強い呪符魔物の中でその性格は貴重な存在だった。,1012.webp
1013,紫獅鬼バイロゼオ,パープルアイ,白紙のカード,フードの男が紫色の呪符により召喚した異界の獣鬼。巨大な剣を自在に振り回し雷や風を操る 戦いの専門家。,すこぶるプライドが高くて他の呪符魔物にも なじまず常に孤高をつらぬいていた。断じて ぼっちなどではない！,1013.webp
1014,黒飛竜,,,フードの男に あやつられた黒き飛竜。すべてを焼きつくすやみのブレスで 敵を弱らせ仲間を呼んで とどめを刺す。,漆黒の姿とは うらはらのおだやかな性格だったがフードの男の術に あやつられ戦いの他のすべてを 忘れた。,1014.webp
1015,赤翼鬼シシン,,,フードの男が赤色の呪符により召喚した異界の獣鬼。血の色にも似た 赤き翼で敵に無残な死を運ぶという。,やたらとリーダーづらするため周囲からは煙たがられていたが仲間思いの情熱家であることは誰もが認めていた。,1015.webp
1016,竜将アンテロ,,,神の器をつけ狙ってアストルティア全土に災いを振りまいた張本人。その正体は竜族だという。,7枚の呪符と我が身を頼りにアストルティアの六種族から神の器たる者を 集めていた。心身ともにタフな竜族の豪傑。,1016.webp
1017,禍乱の竜アンテロ,,,竜将アンテロが竜化の術を使い竜の姿へと変身をとげた。身震いするような咆哮を響かせ奈落の門の前に立ちはだかる。,想像を絶する苦しみに耐え途方もない修練を積み上げた竜族だけが竜に変ずるという。彼の絶大なる自信のゆえん。,1017.webp
1018,魔炎鳥,ブラックパール,赤い宝石,まがまがしい炎を全身にまとい炎の領界を荒らす鳥の魔物。アペカの村の住人たちからおおいに恐れられている。,全身にまとった紫の炎を自在にあやつることができる。炎を凝縮させて爆弾としてバラまくくらいは朝メシ前。,1018.webp
1019,ライノス・ルージュ,あやかしそう,赤い宝石,業炎の聖塔で試練に挑む者に立ちはだかる魔物の1体。ライノス族の戦士の中でいちばんのおしゃれさん。,使用しているメイク道具は特別な調合で作られたもの。どんなに汗をかいても崩れない超高級品だという。,1019.webp
1020,紅蓮のクイーンビー,どくどくヘドロ,赤い宝石,業炎の聖塔で試練に挑む者に立ちはだかる魔物の1体。女王につき従う兵隊を呼びだし集団でおそいかかってくる。,烈火の渓谷で暮らしていたがオーガの神ガズバランに試練の番人に大抜擢され一族を連れ聖塔に移り住んだ。,1020.webp
1021,赤熱の魔神像,ようがんのカケラ,赤い宝石,業炎の聖塔で試練に挑む者に立ちはだかる魔物の1体。巨体を活かした肉弾攻撃を得意としている。,全身が溶岩でできていてつねに高熱を発しているためそばに来ると暑苦しいと言われるのが悩みのタネ。,1021.webp
1022,炎魔アグニース,炎の樹木,赤い宝石,業炎の聖塔の最奥部に現れた最後の試練の番人。オーガの神ガズバランが配したものらしい。,領界の生みだす炎のチカラが体内にうずまいている。試練に挑む者が現れたときそれを一気に解放するのだ。,1022.webp
1023,魔獣イーギュア,,,アヴィーロ遺跡に住みついて周囲の人を困らせた凶暴な獣。はげしいおたけびをあげて群れで攻撃をしかけてくる。,悪い仲間たちと徒党を組んで気に入った遺跡を占拠した。何かとツッパリたいお年頃の青春ジグザグ不良魔物。,1023.webp
1024,フロスティ,,,見た目はとってもキュート 心はちょっと残忍な魔物。イーサの村の人々に白銀の死神と恐れられていた。,けがれない真っ白な身体に新雪のように清らかな心。死神なんて異名は似合わない！と本人だけが思っている。,1024.webp
1025,青の巨人ブルメル,,,かわいいプクリポちゃんと仲良くなりたかっただけの心優しき巨人のひとり。巨人3兄弟の1番年上。,雨をあやつることができるワイルドで頼りになる長兄。プールにスライダーを建造するエンターテイナーでもある。,1025.webp
1026,赤の巨人レドノフ,,,かわいいプクリポちゃんと仲良くなりたかっただけの心優しき巨人のひとり。巨人3兄弟の真ん中。,炎をあやつることができるのんびりマイペースな次男。バーベキューに用意したのは肉のみで野菜は断固食べない。,1026.webp
1027,緑の巨人グリモア,,,かわいいプクリポちゃんと仲良くなりたかっただけの心優しき巨人のひとり。巨人3兄弟の末っ子。,氷をあやつることができるおっとり甘えん坊な三男。大きな身体に似合わずトリプルアクセルが大得意。,1027.webp
1028,氷魔フィルグレア,氷のけっしょう,青い宝石,氷晶の聖塔の最奥部に現れた最後の試練の番人。プクリポの神ピナヘトが配したものらしい。,領界の生みだす氷のチカラを体内にためこんでいる。試練に挑む者が現れたときそれを一気に解放するのだ。,1028.webp
1029,くらやみ飛天,,,闇の領界に生きる人々に混沌と恐怖を もたらした魔物の首領。月をも破壊するおそるべき魔力を 誇る。,闇の領界の民を 苦しめるため月を破壊したことで 逆に楽園への道が開かれた。これは偶然か それとも……？,1029.webp
1030,魔獣サルファバル,,,神秘の鉱石 サルファバル鉱のチカラで 自己の肉体や能力を強化できる魔獣。呪術師さえ封印するしかできなかった。,本来 闇の領界にのみ発生するサルファバル鉱を肉体に宿すこの魔獣は 闇の領界からこちらへ現れたと推測される。,1030.webp
1031,管理端末Ｑ４８４,,,闇の領界の竜族を抹殺するため管理端末が 変貌した姿。鉄やハンマー 電撃など多彩な機能で 任務遂行する。,造物主の命令に従って 楽園を何千年も守り続けてきた機械。自分自身の意志はなく 純粋に命令を 果たそうとしている。,1031.webp
1032,闇魔ティトス,まりょくの土,ゴールドストーン,冥闇の聖塔の最奥部に現れた最後の試練の番人。ドワーフの神ワギが配したものらしい。,領界の生みだす闇のチカラを体内にためこんでいる。試練に挑む者が現れたときそれを一気に解放するのだ。,1032.webp
1033,神獣パチャティカ,,,ドワーフの神ワギに代わり闇の領界を見守ってきた神獣。その巨体に 貯めこまれた大地のチカラを 自在に操る。,時の果ての世界で ただひとりキミが夢見た未来を 歌えば奇跡だって 信じられるさ♪きっとずっとフォーエバー……。,1033.webp
1034,深淵魚キュラス,よるのとばり,人魚の涙,邪悪なる意志によって遣わされ巫女フィナに災いを与えた。オツムは残念だが意外にも強大な魔法を使いこなす。,深海にすむ魔物たちの間でもゴロッキとして名高い。自慢のリーゼントヒレは好物のウニ色に染めたらしい。,1034.webp
1035,邪菌ピロリアン,どくどくヘドロ,ナイトメアリーフ,ブオーンの胃の中で誕生した悪玉菌が元気に育った姿。おうえんで仲間をはげまし毒マヒ呪いをまきちらす。,ピロリとはピロリアンの言葉で「友達」という意味を持つ。毒やマヒは彼らの贈り物。愛を込めて群がってくるのだ。,1035.webp
1036,水魔ヴァーテル,,,天水の聖塔の最奥部に現れた最後の試練の番人。ウェディの神マリーヌが配したものらしい。,領界の生みだす水のチカラを体内にためこんでいる。試練に挑む者が現れたときそれを一気に解放するのだ。,1036.webp
1037,神獣カシャル,,,水の領界を治める巫女フィナが秘めていた真の姿。マリーヌ神の眷属たるチカラが解放者の行く手をはばむ。,普段はやさしい海の守護者だがカシャルが怒りし時 その身はあまたの群れとなりて敵を滅ぼすという伝承がある。,1037.webp
1038,森羅蛮獣,,,足の速さが自慢の魔獣。世界を駆け 荒しまわった。馬のような姿をしているが本当の姿は別にあるという。,自在に姿を変えられるが馬の姿がいちばん速く走れる。銅鏡から出ることはできないが毎日の走り込みは欠かさない。,1038.webp
1039,巨竜樹タツノギ,,,神獣アマカムシカの従者。チーズが大好きで葉の中にたくさん隠し持っているが賞味期限は気にしないらしい。,背中の樹木の葉が赤いのは紅葉しているのではなく熱き血潮が流れているからよ。わかったか こわっぱめ！,1039.webp
1040,激情の竜エステラ,,,神官エステラの竜化した姿。暴走状態におちいっており美しい姿とは うらはらにおそろしく暴風をあやつる。,はじめて竜化したときはもっとゴツい姿だったのだが血のにじむような修行を重ね見事シェイプアップに成功。,1040.webp
1041,剣士ヒューザ,,,アンルシアを捕らえようと敵意をあらわにしたヒューザ。いったい 彼の身に何が あったのだろうか……。,オレは ここで何をしている？なぜ あいつに剣を向けた？鈴の音がアタマにひびく。チリン……チリリン……。,1041.webp
1042,嵐魔ウェンリル,,,翠嵐の聖塔の最奥部に現れた最後の試練の番人。エルフの神エルドナが配したものらしい。,領界の生みだす嵐のチカラを体内にためこんでいる。試練に挑む者が現れたときそれを一気に解放するのだ。,1042.webp
1043,黒蛇鬼アクラガレナ,,,神官長に託された黒色の呪符でトビアスが召喚した切り札。複数のアタマを使った攻撃はとぎれることがない。,ナダイアが彼に与えた命令は解放の間にいる すべての者を抹殺せよ！というものだったが残念ながら果たせず終わった。,1043.webp
1044,獄炎鬼アグニース,,,業炎の聖塔の守護者が邪悪なる意志によって操られ神の器を探す解放者の前にふたたび立ちはだかった。,炎の神ガズバランの加護を失い邪念に囚われ 暴走した守護者を 解き放ったのは解放者と呼ばれた者だった。,1044.webp
